classifier,split_type,fold,roc_auc,avg_precision,n_train,n_val,n_donors_val
Random Forest,naive,0,0.5390095238095238,0.7240318297286645,2000,1000,1000
Random Forest,naive,1,0.4833285714285715,0.6963392773733279,2000,1000,1000
Random Forest,naive,2,0.5125238095238095,0.7030400779333429,2000,1000,1000
Random Forest,honest,0,0.5014199361313869,0.7074194436821957,2086,914,6
Random Forest,honest,1,0.5063204186457528,0.7055646220699471,1825,1175,8
Random Forest,honest,2,0.4938981769013051,0.6935643568676656,2089,911,6
XGBoost,naive,0,0.5197190476190476,0.7200030601145442,2000,1000,1000
XGBoost,naive,1,0.4970333333333333,0.6959983524577643,2000,1000,1000
XGBoost,naive,2,0.48504285714285716,0.6884558073973372,2000,1000,1000
XGBoost,honest,0,0.5061701642335767,0.7059921831044875,2086,914,6
XGBoost,honest,1,0.5270524964100298,0.7118475074433905,1825,1175,8
XGBoost,honest,2,0.4848571657747883,0.6888052397901483,2089,911,6
Logistic Regression,naive,0,0.5477238095238095,0.7244763235704659,2000,1000,1000
Logistic Regression,naive,1,0.5275,0.7282001972437279,2000,1000,1000
Logistic Regression,naive,2,0.5028285714285714,0.6992401026874029,2000,1000,1000
Logistic Regression,honest,0,0.5356181569343066,0.7292879663538059,2086,914,6
Logistic Regression,honest,1,0.5187610460620788,0.7063357614686807,1825,1175,8
Logistic Regression,honest,2,0.5393094913428594,0.7307971193325759,2089,911,6
